,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
39,미나리,252,미나리(100g),00,상품,04,100g,당일 (11/01),"1,938",1일전 (10/31),"1,938",1주일전 (10/25),"1,988",2주일전 (10/18),"2,023",1개월전,"2,049",1년전,"1,459",일평년,"1,049",2024-11-01
40,깻잎,253,깻잎(100g),00,상품,04,100g,당일 (11/01),"2,775",1일전 (10/31),"2,775",1주일전 (10/25),"2,810",2주일전 (10/18),"3,640",1개월전,"3,766",1년전,"2,606",일평년,"2,310",2024-11-01
41,피망,255,청(100g),00,상품,04,100g,당일 (11/01),"1,777",1일전 (10/31),"1,777",1주일전 (10/25),"1,693",2주일전 (10/18),"1,410",1개월전,"1,674",1년전,"1,482",일평년,"1,112",2024-11-01
42,파프리카,256,파프리카(200g),00,상품,04,200g,당일 (11/01),"2,325",1일전 (10/31),"2,760",1주일전 (10/25),"2,460",2주일전 (10/18),"2,057",1개월전,"2,335",1년전,"1,933",일평년,"1,659",2024-11-01
43,파프리카,256,파프리카(200g),00,중품,05,200g,당일 (11/01),"1,272",1일전 (10/31),"1,280",1주일전 (10/25),"1,342",2주일전 (10/18),"1,265",1개월전,"1,593",1년전,"1,374",일평년,"1,259",2024-11-01
44,멜론,257,멜론(1개),00,상품,04,1개,당일 (11/01),"11,033",1일전 (10/31),"11,033",1주일전 (10/25),"11,467",2주일전 (10/18),"11,400",1개월전,"10,091",1년전,"10,640",일평년,"10,059",2024-11-01
45,멜론,257,멜론(1개),00,중품,05,1개,당일 (11/01),"9,800",1일전 (10/31),"9,800",1주일전 (10/25),"9,800",2주일전 (10/18),-,1개월전,-,1년전,"7,052",일평년,"7,242",2024-11-01
46,깐마늘(국산),258,깐마늘(국산)(1kg),01,상품,04,1kg,당일 (11/01),"9,300",1일전 (10/31),"9,300",1주일전 (10/25),"9,280",2주일전 (10/18),"8,810",1개월전,"10,314",1년전,"8,690",일평년,"10,380",2024-11-01
47,깐마늘(국산),258,깐마늘(국산)(1kg),01,중품,05,1kg,당일 (11/01),"6,830",1일전 (10/31),"6,830",1주일전 (10/25),"6,830",2주일전 (10/18),"6,830",1개월전,"7,973",1년전,"7,832",일평년,"7,937",2024-11-01
48,절임배추,266,가을(20kg),03,상품,04,20kg,당일 (11/01),"40,867",1일전 (10/31),"42,850",1주일전 (10/25),-,2주일전 (10/18),-,1개월전,-,1년전,"45,627",일평년,"45,627",2024-11-01
49,알배기배추,279,알배기배추(1포기),00,상품,04,1포기,당일 (11/01),"4,280",1일전 (10/31),"4,448",1주일전 (10/25),"4,698",2주일전 (10/18),"4,933",1개월전,"5,747",1년전,"3,603",일평년,"3,603",2024-11-01
50,알배기배추,279,알배기배추(1포기),00,중품,05,1포기,당일 (11/01),"2,500",1일전 (10/31),"3,100",1주일전 (10/25),"3,100",2주일전 (10/18),"3,745",1개월전,"3,487",1년전,-,일평년,-,2024-11-01
51,브로콜리,280,브로콜리(국산)(1개),00,상품,04,1개,당일 (11/01),"3,757",1일전 (10/31),"3,757",1주일전 (10/25),"4,057",2주일전 (10/18),"3,965",1개월전,"4,723",1년전,"2,471",일평년,"2,471",2024-11-01
52,브로콜리,280,브로콜리(국산)(1개),00,중품,05,1개,당일 (11/01),-,1일전 (10/31),-,1주일전 (10/25),"4,490",2주일전 (10/18),-,1개월전,-,1년전,-,일평년,-,2024-11-01
53,방울토마토,422,방울토마토(1kg),01,상품,04,1kg,당일 (11/01),"19,900",1일전 (10/31),"19,900",1주일전 (10/25),"19,900",2주일전 (10/18),"19,900",1개월전,"13,025",1년전,"12,182",일평년,"8,694",2024-11-01
54,방울토마토,422,대추방울토마토(1kg),02,상품,04,1kg,당일 (11/01),"12,325",1일전 (10/31),"12,325",1주일전 (10/25),"15,275",2주일전 (10/18),"13,250",1개월전,"14,249",1년전,"11,239",일평년,"9,835",2024-11-01
